Topic,Count,Name,Representation,Representative_Docs
117,20,117_conservation_wetland_biodiversity_sdg,"['conservation', 'wetland', 'biodiversity', 'sdg', 'ecosystem', 'bird', 'forest', 'ncps', 'service', 'wildlife']","['total economic valuation wetland ecosystem service evidence jagadishpur ramsar site nepal wetland productive ecosystem provide wide array wetland ecosystem good service local community particular global community general however management wetland often remain priority recognized unproductive waste land mainly due poor realization economic value wetland taking account study estimated total economic value jagadishpur reservoir taking account direct indirect nonuse value study prioritized six major value reservoir include wetland good consumption tourism irrigation carbon sequestration biodiversity conservation conservation future use existence option value study used market nonmarket based valuation technique estimate total economic value reservoir household survey focus group discussion interaction tourism entrepreneur district stakeholder carried collect information study estimated total annual economic value reservoir nrs million optionexistence value remains main contributor followed direct use value wetland good tourism indirect use value example carbon sequestration biodiversity conservation irrigation study reveals local community gave high importance future use value willing make investment conservation restoration reservoir given conservation significance', 'integrating biodiversity conservation ecosystem service operational plan community forest nepal status gap initiation community forestry system nepal status forest cover improved due significant role people conservation management utilization forest resource result increased productivity forest restoration degraded area forest user able receive various economic social cultural environmental benefit strengthen livelihood despite many positive outcome community forestry still factor havent allowed proper biodiversity conservation ecosystem service maintenance study carried operational plan different part country showed incorporation status biodiversity ecosystem service community forest operational plan worse despite fact plan main component lead destination community forest addition gap challenge observed community forestry favoured biodiversity conservation ecosystem service management systematically optimum level among duplication problem biodiversity ecosystem service related issue operational plan timber oriented operational plan limited provision wildlife conservation negative perception people wildlife conservation owing human wildlife conflict dominant socioeconomic factor impact introduced specie invasive alien specie lacking provision adaptation mitigation method cope impact climate change biodiversity ecosystem service shrinking biological corridor due habitat fragmentation major issue besides address issue also identified national consultation workshop forest official expert appropriate uniform method measure mechanism needed developed complete assessment prioritization analysis development action plan main stream biodiversity conservation ecosystem service management operational plan community forestry', 'integrating biodiversity conservation ecosystem service operational plan community forest nepal status gap initiation community forestry system nepal status forest cover improved due significant role people conservation management utilization forest resource result increased productivity forest restoration degraded area forest user able receive various economic social cultural environmental benefit strengthen livelihood despite many positive outcome community forestry still factor havent allowed proper biodiversity conservation ecosystem service maintenance study carried operational plan different part country showed incorporation status biodiversity ecosystem service community forest operational plan worse despite fact plan main component lead destination community forest addition gap challenge observed community forestry favoured biodiversity conservation ecosystem service management systematically optimum level among duplication problem biodiversity ecosystem service related issue operational plan timber oriented operational plan limited provision wildlife conservation negative perception people wildlife conservation owing human wildlife conflict dominant socioeconomic factor impact introduced specie invasive alien specie lacking provision adaptation mitigation method cope impact climate change biodiversity ecosystem service shrinking biological corridor due habitat fragmentation major issue besides address issue also identified national consultation workshop forest official expert appropriate uniform method measure mechanism needed developed complete assessment prioritization analysis development action plan main stream biodiversity conservation ecosystem service management operational plan community forestry']"
118,20,118_wheat_production_seed_maize,"['wheat', 'production', 'seed', 'maize', 'rice', 'productivity', 'profitability', 'msr', 'sr', 'kanchanpur']","['assessment factor affecting productivity production limitation wheat farming kanchanpur district nepal despite possessing considerable prospective wheat cultivation productivity kanchanpur remains lower compared neighboring district like kailali banke kapilbastu rupendehi share similar meteorological condition primary objective study investigate influential variable affecting wheat production determine associated challenge inherent wheat cultivation within area kanchanpur district given substantial prospect wheat farming geographic region kanchanpur district purposively selected research conducted march april simple random sampling technique one hundred household wheat farmer systematically chosen primary data collected utilization pretested semistructured questionnaire administered via facetoface interview secondary data sourced pertinent journal factor influencing wheat production determined application multiple regression model finding research underscore variable quantity applied npk nitrogen phosphorus potassium educational level household head extent wheatcultivated land irrigation facility farmersapos year experience field exerted significant positive influence wheat production study area identify major constraint wheat production indexing method applied research identifies unavailability chemical fertilizer critical growth period challenge arising damage caused wild animal stray cattle lack access improved seed irrigation susceptibility disease pest inadequate market access major constraint affecting wheat production research area', 'assessment factor affecting productivity production limitation wheat farming kanchanpur district nepal despite possessing considerable prospective wheat cultivation productivity kanchanpur remains lower compared neighbouring district like kailali banke kapilbastu rupendehi share similar meteorological condition primary objective study investigate influential variable affecting wheat production determine associated challenge inherent wheat cultivation within area kanchanpur district given substantial prospect wheat farming geographic region kanchanpur district purposively selected research conducted march april simple random sampling technique one hundred household wheat farmer systematically chosen primary data collected utilization pretested semistructured questionnaire administered via facetoface interview secondary data sourced pertinent journal factor influencing wheat production determined application multiple regression model finding research underscore variable quantity applied npk nitrogen phosphorus potassium educational level household head extent wheatcultivated land irrigation facility farmer year experience field exerted significant positive influence wheat production study area identify major constraint wheat production indexing method applied research identifies unavailability chemical fertilizer critical growth period challenge arising damage caused wild animal stray cattle lack access improved seed irrigation susceptibility disease pest inadequate market access major constraint affecting wheat production research area', 'resource use efficiency wheat seed production case chitwan nepal wheat staple food thirty percent world population also rich source mineral protein vitamin dietary fiber quality seed major reason behind low productivity wheat nepal study design investigate cost return resource use efficiency wheat seed production chitwan district nepal study used randomly sampled sample wheat seed producer cobbdouglas production function benefit cost ratio used estimate resource use efficiency wheat seed production data collected using semistructured interview schedule meet objective average total cost wheat seed production subsidy nrs per hectare average total cost wheat seed production without subsidy nrs per hectare yield study area found kg return profit subsidy profit without subsidy wheat seed production nrs nrs nrs study area respectively benefit cost ratio wheat seed production study area subsidy found without subsidy wheat seed production found increasing return scale rts study area seed machine underutilized input like farmyard manure fym chemical fertilizer labor cost utilized producing wheat seed chitwan district study revealed increase profit optimization input us']"
119,20,119_spring_groundwater_bhabar_siwalik,"['spring', 'groundwater', 'bhabar', 'siwalik', 'mountainous', 'hydrogeological', 'zone', 'foothill', 'sindhupalchowk', 'gravel']","['water availability hydrogeological condition siwalik foothill east nepal siwalik foothill bounded siwalik range north indo gangetic plain south siwalik range composed sedimentary rock mainly alternating bed sandstone mudstone conglomerate indogangetic plain consists coarse sand gravel pebble cobble boulder northern part bhabar zone becomes finer gravel size southward porous geology bhabar zone potential area groundwater recharge restricted water availability due deeper water table detailed investigation carried part chulachuli village development committee ilam district nepal assess hydrogeological condition secondary information primary data collected field interpretation satellite imagery carried extract relevant information update geological map area bhabar zone characterized low availability water drinking irrigation purpose middle terai represented better groundwater potentiality', 'water availability hydrogeological condition siwalik foothill east nepal siwalik foothill bounded siwalik range north indo gangetic plain south siwalik range composed sedimentary rock mainly alternating bed sandstone mudstone conglomerate indogangetic plain consists coarse sand gravel pebble cobble boulder northern part bhabar zone becomes finer gravel size southward porous geology bhabar zone potential area groundwater recharge restricted water availability due deeper water table detailed investigation carried part chulachuli village development committee ilam district nepal assess hydrogeological condition secondary information primary data collected field interpretation satellite imagery carried extract relevant information update geological map area bhabar zone characterized low availability water drinking irrigation purpose middle terai represented better groundwater potentiality', 'water availability hydrogeological condition siwalik foothill east nepal siwalik foothill bounded siwalik range north indo gangetic plain south siwalik range composed sedimentary rock mainly alternating bed sandstone mudstone conglomerate indogangetic plain consists coarse sand gravel pebble cobble boulder northern part bhabar zone becomes finer gravel size southward porous geology bhabar zone potential area groundwater recharge restricted water availability due deeper water table detailed investigation carried part chulachuli village development committee ilam district nepal assess hydrogeological condition secondary information primary data collected field interpretation satellite imagery carried extract relevant information update geological map area bhabar zone characterized low availability water drinking irrigation purpose middle terai represented better groundwater potentiality']"
120,19,120_soil_ca_crop_rainfed,"['soil', 'ca', 'crop', 'rainfed', 'residue', 'weed', 'tillage', 'regenerative', 'biochar', 'chemical']","['conservation agriculture work rainfed farming nepal review intensive tillagebased agricultural practice severely affect soil physical chemical biological property eventually limit crop yield longer run due declining soil physical chemical biological property several study done restore improve soil quality however conservation agriculture cabased practice minimum tillage crop residue retention appropriate crop rotation observed promising across globe study ca nepal rainfed farming system terai hill nepal improved soil quality increased individual crop system yield reduced labor demand economically profitable however lack adequate soil moisture planting initial season inadequate tillage equipment weed management option key constraint rainfed farming transformed ca initial stage nepal introduction animaldrawn direct seeding equipment management residue mulch mechanical herbicidal weed management option smallscale rainfed hill farmer paramount significance scalingout ca based practice nepal onstation onfarm verification ca based practice need carried across various cropping system agroecological region country nepal agricultural research council narc nepal collaboration international cg center university extension development institution', 'conservation agriculture work rainfed farming nepal review intensive tillagebased agricultural practice severely affect soil physical chemical biological property eventually limit crop yield longer run due declining soil physical chemical biological property several study done restore improve soil quality however conservation agriculture cabased practice minimum tillage crop residue retention appropriate crop rotation observed promising across globe study ca nepal rainfed farming system terai hill nepal improved soil quality increased individual crop system yield reduced labor demand economically profitable however lack adequate soil moisture planting initial season inadequate tillage equipment weed management option key constraint rainfed farming transformed ca initial stage nepal introduction animaldrawn direct seeding equipment management residue mulch mechanical herbicidal weed management option smallscale rainfed hill farmer paramount significance scalingout ca based practice nepal onstation onfarm verification ca based practice need carried across various cropping system agroecological region country nepal agricultural research council narc nepal collaboration international cg center university extension development institution', 'conservation agriculture work rainfed farming nepal review intensive tillagebased agricultural practice severely affect soil physical chemical biological property eventually limit crop yield longer run due declining soil physical chemical biological property several study done restore improve soil quality however conservation agriculture cabased practice minimum tillage crop residue retention appropriate crop rotation observed promising across globe study ca nepal rainfed farming system terai hill nepal improved soil quality increased individual crop system yield reduced labor demand economically profitable however lack adequate soil moisture planting initial season inadequate tillage equipment weed management option key constraint rainfed farming transformed ca initial stage nepal introduction animaldrawn direct seeding equipment management residue mulch mechanical herbicidal weed management option smallscale rainfed hill farmer paramount significance scalingout ca based practice nepal onstation onfarm verification ca based practice need carried across various cropping system agroecological region country nepal agricultural research council narc nepal collaboration international cg center university extension development institution']"
121,19,121_deficiency_vitamin_ngml_anaemia,"['deficiency', 'vitamin', 'ngml', 'anaemia', 'coronary', 'patient', 'acute', 'heart', 'tertiary', 'syndrome']","['prevalence vitamin deficiency among patient acute coronary syndrome tertiary care center eastern nepal introduction vitamin deficiency emerging risk factor cardiovascular disease study done find vitamin deficiency status among cardiovascular patient nepalese setup research aim find prevalence vitamin deficiency among patient acute coronary syndrome admitted tertiary care center eastern nepal method descriptive crosssectional study conducted among patient acute coronary syndrome admitted tertiary care hospital st february st july ethical clearence taken institutional review committee bp koirala institute health science reference number irc convenience sampling method used data entered microsoft excel analyzed using statistical package social science version point estimate confidence interval calculated along frequency proportion binary data result total confidence interval patient acute coronary syndrome vitamin deficiency study mild deficiency moderate deficiency none patient severe vitamin deficiency study mean vitamin level lower diabetic ngml compared nondiabetics ngml hypertensive patient ngml compared nonhypertensive patient ngml patient dyslipidemia ngml compared without dyslipidemia ngml conclusion prevalence vitamin deficiency among patient acute coronary syndrome study comparable various homologous international study', 'prevalence vitamin deficiency among patient acute coronary syndrome tertiary care center eastern nepal introduction vitamin deficiency emerging risk factor cardiovascular disease study done find vitamin deficiency status among cardiovascular patient nepalese setup research aim find prevalence vitamin deficiency among patient acute coronary syndrome admitted tertiary care center eastern nepal method descriptive crosssectional study conducted among patient acute coronary syndrome admitted tertiary care hospital st february st july ethical clearence taken institutional review committee bp koirala institute health science reference number irc convenience sampling method used data entered microsoft excel analyzed using statistical package social science version point estimate confidence interval calculated along frequency proportion binary data result total confidence interval patient acute coronary syndrome vitamin deficiency study mild deficiency moderate deficiency none patient severe vitamin deficiency study mean vitamin level lower diabetic ngml compared nondiabetics ngml hypertensive patient ngml compared nonhypertensive patient ngml patient dyslipidemia ngml compared without dyslipidemia ngml conclusion prevalence vitamin deficiency among patient acute coronary syndrome study comparable various homologous international study', 'prevalence vitamin deficiency among patient acute coronary syndrome tertiary care center eastern nepal introduction vitamin deficiency emerging risk factor cardiovascular disease study done find vitamin deficiency status among cardiovascular patient nepalese setup research aim find prevalence vitamin deficiency among patient acute coronary syndrome admitted tertiary care center eastern nepal method descriptive crosssectional study conducted among patient acute coronary syndrome admitted tertiary care hospital st february st july ethical clearence taken institutional review committee bp koirala institute health science reference number irc convenience sampling method used data entered microsoft excel analyzed using statistical package social science version point estimate confidence interval calculated along frequency proportion binary data result total confidence interval patient acute coronary syndrome vitamin deficiency study mild deficiency moderate deficiency none patient severe vitamin deficiency study mean vitamin level lower diabetic ngml compared nondiabetics ngml hypertensive patient ngml compared nonhypertensive patient ngml patient dyslipidemia ngml compared without dyslipidemia ngml conclusion prevalence vitamin deficiency among patient acute coronary syndrome study comparable various homologous international study']"
122,19,122_elderly_satisfaction_seeking_medication,"['elderly', 'satisfaction', 'seeking', 'medication', 'older', 'health', 'unmet', 'domain', 'onethirds', 'sociodemographic']","['common health problem satisfaction health service among elderly nepal introduction every country world seeing increase number proportion elderly people aging pace one major societal change twentyfirst century affect sector society aim study assess factor affecting utilization health service among elderly koshi province nepal method quantitative descriptive crosssectional study conducted among elderly multistage sampling technique used selection eight municipality ward obtaining representative sample ward semi structured interview schedule used data collection procedure descriptive statistic inferential statistic used normality test measure association selected variable utilization health service result study finding revealed twothird respondent young old age half respondent female less half respondent hypertensive less onethirds respondent hypertensive urban rural respectively half elderly people neutral satisfactory satisfied whereas onetenth elderly highly satisfaction conclusion study concludes twothirds elderly satisfied health care service facility although onethirds elderly still satisfied health care facility enhance provide quality service elderly essential', 'common health problem satisfaction health service among elderly nepal introduction every country world seeing increase number proportion elderly people aging pace one major societal change twentyfirst century affect sector society aim study assess factor affecting utilization health service among elderly koshi province nepal method quantitative descriptive crosssectional study conducted among elderly multistage sampling technique used selection eight municipality ward obtaining representative sample ward semi structured interview schedule used data collection procedure descriptive statistic inferential statistic used normality test measure association selected variable utilization health service result study finding revealed twothird respondent young old age half respondent female less half respondent hypertensive less onethirds respondent hypertensive urban rural respectively half elderly people neutral satisfactory satisfied whereas onetenth elderly highly satisfaction conclusion study concludes twothirds elderly satisfied health care service facility although onethirds elderly still satisfied health care facility enhance provide quality service elderly essential', 'common health problem satisfaction health service among elderly nepal introduction every country world seeing increase number proportion elderly people aging pace one major societal change twentyfirst century affect sector society aim study assess factor affecting utilization health service among elderly koshi province nepal method quantitative descriptive crosssectional study conducted among elderly multistage sampling technique used selection eight municipality ward obtaining representative sample ward semi structured interview schedule used data collection procedure descriptive statistic inferential statistic used normality test measure association selected variable utilization health service result study finding revealed twothird respondent young old age half respondent female less half respondent hypertensive less onethirds respondent hypertensive urban rural respectively half elderly people neutral satisfactory satisfied whereas onetenth elderly highly satisfaction conclusion study concludes twothirds elderly satisfied health care service facility although onethirds elderly still satisfied health care facility enhance provide quality service elderly essential']"
123,19,123_breastfeeding_feeding_mother_milk,"['breastfeeding', 'feeding', 'mother', 'milk', 'expressed', 'breast', 'child', 'initiation', 'dietary', 'timely']","['dietary practice lactating woman nutritional status child baglung district nepal introduction breastfeeding success depends mother child high energy requirement produce breast milk wholesome food month child complementary food introduced child inadequate feeding practice affect nutritional status child main aim study measure dietary practice lactating woman nutritional status childrenmaterial method cross sectional study conducted among lactating woman two year child baglung district random sampling technique applied select participant face face interview conducted among woman collect data anthropometric measurement performed among child data entered epidata version exported statistical package social science spss version analysisresults mother taken additional two meal per day energy intake woman met dietary practice mother associated nutritional status child breastfeeding practice nearly universal bulk child put breast breast feeding within first hour birth exclusive breastfeeding rate bottle feeding practiced woman less half month child n achieved satisfactory feeding practice minimum meal frequency minimum dietary diversity rate wasting n stunting n underweight n respectively feeding practice child associated wasting stuntingconclusion dietary practice woman feeding practice child satisfactory dietary practice woman associated nutritional status child feeding practice associated nutritional status rate stunting wasting underweight high', 'dietary practice lactating woman nutritional status child baglung district nepal introduction breastfeeding success depends mother child high energy requirement produce breast milk wholesome food month child complementary food introduced child inadequate feeding practice affect nutritional status child main aim study measure dietary practice lactating woman nutritional status childrenmaterial method cross sectional study conducted among lactating woman two year child baglung district random sampling technique applied select participant face face interview conducted among woman collect data anthropometric measurement performed among child data entered epidata version exported statistical package social science spss version analysisresults mother taken additional two meal per day energy intake woman met dietary practice mother associated nutritional status child breastfeeding practice nearly universal bulk child put breast breast feeding within first hour birth exclusive breastfeeding rate bottle feeding practiced woman less half month child n achieved satisfactory feeding practice minimum meal frequency minimum dietary diversity rate wasting n stunting n underweight n respectively feeding practice child associated wasting stuntingconclusion dietary practice woman feeding practice child satisfactory dietary practice woman associated nutritional status child feeding practice associated nutritional status rate stunting wasting underweight high', 'dietary practice lactating woman nutritional status child baglung district nepal introduction breastfeeding success depends mother child high energy requirement produce breast milk wholesome food month child complementary food introduced child inadequate feeding practice affect nutritional status child main aim study measure dietary practice lactating woman nutritional status childrenmaterial method cross sectional study conducted among lactating woman two year child baglung district random sampling technique applied select participant face face interview conducted among woman collect data anthropometric measurement performed among child data entered epidata version exported statistical package social science spss version analysisresults mother taken additional two meal per day energy intake woman met dietary practice mother associated nutritional status child breastfeeding practice nearly universal bulk child put breast breast feeding within first hour birth exclusive breastfeeding rate bottle feeding practiced woman less half month child n achieved satisfactory feeding practice minimum meal frequency minimum dietary diversity rate wasting n stunting n underweight n respectively feeding practice child associated wasting stuntingconclusion dietary practice woman feeding practice child satisfactory dietary practice woman associated nutritional status child feeding practice associated nutritional status rate stunting wasting underweight high']"
124,19,124_illness_neuropsychiatry_mental_psychiatry,"['illness', 'neuropsychiatry', 'mental', 'psychiatry', 'caregiver', 'attitude', 'psychiatrist', 'training', 'depressive', 'automatic']","['outlook regarding mental illness patient caregiver eastern nepal introduction mental health integral component overall health various factor along stigma affect knowledge perspective behavior people ultimately affecting help seeking treatment patient caregiver directly involved overall management outcome hence ascertaining aspect among important aim study material method cross sectional comparative study carried among participant patient caregiver visiting neuropsychiatry outpatient department tertiary care hospital data collected semistructured proforma attitude towards mental illness questionnaire modified data analysed using spss version microsoft excel result sociodemographic profile group similar group good knowledge mental illness almost group positive perceptionattitude regarding mentally ill mental illness significant difference relation right mentally ill group positive attitude regarding helpseeking significant difference view people mental illness seeking help psychiatrist group positive attitude regarding care treatment conclusion good knowledge positive attitudeperception regarding mental illness selfstigma persisted regarding domain despite positive attitude helpseeking ambivalent view regarding care treatment group necessitate easy accessibility upgrading mental health service', 'outlook regarding mental illness patient caregiver eastern nepal introduction mental health integral component overall health various factor along stigma affect knowledge perspective behavior people ultimately affecting help seeking treatment patient caregiver directly involved overall management outcome hence ascertaining aspect among important aim study material method cross sectional comparative study carried among participant patient caregiver visiting neuropsychiatry outpatient department tertiary care hospital data collected semistructured proforma attitude towards mental illness questionnaire modified data analysed using spss version microsoft excel result sociodemographic profile group similar group good knowledge mental illness almost group positive perceptionattitude regarding mentally ill mental illness significant difference relation right mentally ill group positive attitude regarding helpseeking significant difference view people mental illness seeking help psychiatrist group positive attitude regarding care treatment conclusion good knowledge positive attitudeperception regarding mental illness selfstigma persisted regarding domain despite positive attitude helpseeking ambivalent view regarding care treatment group necessitate easy accessibility upgrading mental health service', 'outlook regarding mental illness patient caregiver eastern nepal introduction mental health integral component overall health various factor along stigma affect knowledge perspective behavior people ultimately affecting help seeking treatment patient caregiver directly involved overall management outcome hence ascertaining aspect among important aim study material method cross sectional comparative study carried among participant patient caregiver visiting neuropsychiatry outpatient department tertiary care hospital data collected semistructured proforma attitude towards mental illness questionnaire modified data analysed using spss version microsoft excel result sociodemographic profile group similar group good knowledge mental illness almost group positive perceptionattitude regarding mentally ill mental illness significant difference relation right mentally ill group positive attitude regarding helpseeking significant difference view people mental illness seeking help psychiatrist group positive attitude regarding care treatment conclusion good knowledge positive attitudeperception regarding mental illness selfstigma persisted regarding domain despite positive attitude helpseeking ambivalent view regarding care treatment group necessitate easy accessibility upgrading mental health service']"
125,19,125_mushroom_antibacterial_antiviral_pleurotus,"['mushroom', 'antibacterial', 'antiviral', 'pleurotus', 'ganoderma', 'coronarium', 'specie', 'extract', 'ellipticum', 'inhibition']","['antiviral mushroom nepal present paper review based published article highlight potential antiviral mushroom also found nepal nepalese mushroom yet analyzed investigated far antiviral property except antioxidant aceinhibition source nepalese mushroom evidencebased complementary alternative medicine ophicordycepssinensiswas screened chemical compound nepal published paper abroad includes specie like calvatia gigantia cordyceps militaris cortinarius caperatus fomes fomentarius ganoderma lucidum grifolafrondosa hericiumerinaceus inonotushispidus inonotus obliquus lentinula edodes omphalotusilludens ophiocordyceps sinensis phellinus ignarius pleurotus citrinopileatus pleurotus eryngii pleurotus ostreatus polyporus umbellatus russula delicaschizophyllum commune scleroderma citrinum tremella sp trametes versicolor also found natural temperate schima castanopsis rhododendron quercus forest kathmandu valley paper may provide researcher glimpse aspect experiment lead investigate medicinal antiviral antibacterial property mushroom found nepal', 'antiviral mushroom nepal present paper review based published article highlight potential antiviral mushroom also found nepal nepalese mushroom yet analyzed investigated far antiviral property except antioxidant aceinhibition source nepalese mushroom evidencebased complementary alternative medicine ophicordycepssinensiswas screened chemical compound nepal published paper abroad includes specie like calvatia gigantia cordyceps militaris cortinarius caperatus fomes fomentarius ganoderma lucidum grifolafrondosa hericiumerinaceus inonotushispidus inonotus obliquus lentinula edodes omphalotusilludens ophiocordyceps sinensis phellinus ignarius pleurotus citrinopileatus pleurotus eryngii pleurotus ostreatus polyporus umbellatus russula delicaschizophyllum commune scleroderma citrinum tremella sp trametes versicolor also found natural temperate schima castanopsis rhododendron quercus forest kathmandu valley paper may provide researcher glimpse aspect experiment lead investigate medicinal antiviral antibacterial property mushroom found nepal', 'antiviral mushroom nepal present paper review based published article highlight potential antiviral mushroom also found nepal nepalese mushroom yet analyzed investigated far antiviral property except antioxidant aceinhibition source nepalese mushroom evidencebased complementary alternative medicine ophicordycepssinensiswas screened chemical compound nepal published paper abroad includes specie like calvatia gigantia cordyceps militaris cortinarius caperatus fomes fomentarius ganoderma lucidum grifolafrondosa hericiumerinaceus inonotushispidus inonotus obliquus lentinula edodes omphalotusilludens ophiocordyceps sinensis phellinus ignarius pleurotus citrinopileatus pleurotus eryngii pleurotus ostreatus polyporus umbellatus russula delicaschizophyllum commune scleroderma citrinum tremella sp trametes versicolor also found natural temperate schima castanopsis rhododendron quercus forest kathmandu valley paper may provide researcher glimpse aspect experiment lead investigate medicinal antiviral antibacterial property mushroom found nepal']"
126,18,126_literacy_health_hlq_mixedmethods,"['literacy', 'health', 'hlq', 'mixedmethods', 'undergraduate', 'copd', 'education', 'multimorbid', 'activation', 'ncds']","['level health literacy associated factor among adult rural municipality nepal crosssectional study conducted nepal show similar low health literacy level instance knowledge awareness barrier health contributory limited health literacy', 'potential health literacy address health related un sustainable development goal sdg nepal rapid review literacy key mechanism meet health health literacy developing country nepal paper aim review potential health literacy address sdg nepal', 'health literacy knowledge chronic disease nepal level health literacy also found high level health literacy better knowledge disease therefore recommend nepal health literacy']"
127,18,127_migration_update_wellbeing_bhutanese,"['migration', 'update', 'wellbeing', 'bhutanese', 'ageing', 'international', 'refugee', 'modernization', 'placemaking', 'patriarchy']","['nepal development update international migration wellbeing nepal', 'nepal development update international migration wellbeing nepal', 'nepal development update international migration wellbeing nepal']"
128,18,128_energy_household_dataset_lighting,"['energy', 'household', 'dataset', 'lighting', 'panel', 'mdep', 'energyrelated', 'energyuse', 'tbe', 'motorcycle']","['energy poverty household wellbeing panel data evidence nepal poverty mdep consumption saving using household risk vulnerability survey hrvs threeyear panel data nepal ep nepal', 'multidimensional energy poverty effect household consumption saving evidence nepal study examines impact multidimensional energy poverty mdep household threeyear panel dataset nepal covering household apply pooled ols', 'determinant household choice energy lighting nepal paper identifies determinant energy choice lighting nepal applying multinomial logit regression nationally representative set household level data found richer household use better quality source energy confirming energy ladder hypothesis significant determinant energy choice lighting nepal gender education level head household family size proportion dependent population family distance market location household paper suggests utilisation potential micro hydropower plant supplying clean energy remote area nepal']"
129,18,129_fistula_obstetric_orientation_know,"['fistula', 'obstetric', 'orientation', 'know', 'anc', 'session', 'iatrogenic', 'characteristic', 'phectnepal', 'prolapse']","['obstetric fistula orientation program nepal aim find hidden case strengtheningupgrading knowledge participant also refer identified case phect nepal fistula surgery center kathmandu model hospitalkirtipur hospital also nearest fistula center country method phectnepal conducted orientation program seven district orientation pretestposttest done health service provider female community health volunteer ngo teacher school student see knowledge obstetric fistula public health concern trust phectnepal working area curative part also preventiveawareness part since till phectneapal conducted orientation district one municipality one village municipality district result among health service provider got orientation total health service provider know obstetric fistula know pelvic organ involved obstetric fistula hsp know cause obstetric fistula know symptom obstetric fistula know diagnostic criterion identifying obstetric fistula confusing knowledge gynae problem like uterine prolapse among fchvs almost female community health volunteer heard obstetric fistula fchvs said heard obstetric fistula confused knowledge prolapse uterus pile leaking urine coughingsneezing etc almost teacher ngo know obstetric fistula conclusion awareness obstetric fistula key component successful implementation obstetric fistula program nepal', 'obstetric fistula orientation program nepal aim find hidden case strengtheningupgrading knowledge participant also refer identified case phect nepal fistula surgery center kathmandu model hospitalkirtipur hospital also nearest fistula center country method phectnepal conducted orientation program seven district orientation pretestposttest done health service provider female community health volunteer ngo teacher school student see knowledge obstetric fistula public health concern trust phectnepal working area curative part also preventiveawareness part since till phectneapal conducted orientation district one municipality one village municipality district result among health service provider got orientation total health service provider know obstetric fistula know pelvic organ involved obstetric fistula hsp know cause obstetric fistula know symptom obstetric fistula know diagnostic criterion identifying obstetric fistula confusing knowledge gynae problem like uterine prolapse among fchvs almost female community health volunteer heard obstetric fistula fchvs said heard obstetric fistula confused knowledge prolapse uterus pile leaking urine coughingsneezing etc almost teacher ngo know obstetric fistula conclusion awareness obstetric fistula key component successful implementation obstetric fistula program nepal', 'obstetric fistula orientation program nepal aim find hidden case strengtheningupgrading knowledge participant also refer identified case phect nepal fistula surgery center kathmandu model hospitalkirtipur hospital also nearest fistula center country method phectnepal conducted orientation program seven district orientation pretestposttest done health service provider female community health volunteer ngo teacher school student see knowledge obstetric fistula public health concern trust phectnepal working area curative part also preventiveawareness part since till phectneapal conducted orientation district one municipality one village municipality district result among health service provider got orientation total health service provider know obstetric fistula know pelvic organ involved obstetric fistula hsp know cause obstetric fistula know symptom obstetric fistula know diagnostic criterion identifying obstetric fistula confusing knowledge gynae problem like uterine prolapse among fchvs almost female community health volunteer heard obstetric fistula fchvs said heard obstetric fistula confused knowledge prolapse uterus pile leaking urine coughingsneezing etc almost teacher ngo know obstetric fistula conclusion awareness obstetric fistula key component successful implementation obstetric fistula program nepal']"
